Категория,Примеры полей,Класс,Критичность,Где лежит сейчас,Базовые меры
Идентификация пациента,"ФИО, дата рождения, пол",PII/ПДн,Высокая,"Excel 'Patients', журналы, почта","Минимизация, шифрование на диске, контроль доступа (RBAC/ABAC), маскирование в логах"
Контакты,"Телефон, email",PII/ПДн,Высокая,"Excel, Exchange","Маскирование, ограничение видимости, шифрование почты (S/MIME)"
Адреса и работа/учёба,"Адрес регистрации/проживания, место работы/учёбы",PII/ПДн,Высокая,"Сканы анкет, Excel","Минимизация, шифрование, разграничение доступа"
Медицинские данные,"Диагнозы, заключения, анализы",Особая категория ПДн,Критическая,"Папки пациентов (JPG/PDF), Excel-реестры","Шифрование на хранении, доступ по роли/атрибутам, аудит, псевдонимизация"
Финансовые,"Сумма, услуга, номер чека",Комм. тайна/фин. данные,Средняя,"1С Бухгалтерия, Excel-реестры","Шифрование БД/файлов, контроль доступа, маскирование"
Договоры и согласия,"Скан паспорта, ф.182н, согласие на ПДн",PII/документы,Критическая,Файловое хранилище,"Шифрование, DLP, водяные знаки, запрет пересылки"
Учет ТМЦ,"Накладные, серийные номера",Коммерческие,Средняя,1С Торговля/Excel,"Шифрование, контроль доступа"
Логика расписаний,"Время визитов, ФИО врача/пациента",PII/мед. тайна косвенно,Высокая,"Журналы Excel, почта","Минимизация в уведомлениях, маскирование"
Служебные учётные данные,"AD-аккаунты, пароли (нельзя хранить в файлах)",Учётные,Критическая,"AD, локальные файлы","Пароли в хранилище секретов, MFA, политика сложности"
Тех. логи,"IP, устройства, события",Тех. данные,Средняя,Windows/приложения,"Маскирование IP, ротация, аудит доступа"
